timestamp,no
2016-01-21 19:53:45,"3,8"
2016-01-21 19:54:07,"2,6"
2016-01-21 19:54:30,"1,9"
2016-01-21 19:54:52,"3,5"
2016-01-21 19:55:15,"2,9"
2016-01-21 19:55:37,"1,2"
2016-01-21 19:55:59,"2,2"
2016-01-21 19:56:21,"1,7"
2016-01-21 19:56:43,"2,1"
2016-01-21 19:57:05,"1,8"
2016-01-21 19:57:28,2
2016-01-21 19:57:50,"0,5"
2016-01-21 19:58:12,2
2016-01-21 19:58:36,"1,2"
2016-01-21 19:58:58,"1,3"
2016-01-21 19:59:20,"2,2"
2016-01-21 19:59:42,"2,2"
2016-01-21 20:00:04,1
2016-01-21 20:00:26,"2,1"
2016-01-21 20:00:49,"6,5"
2016-01-21 20:01:11,4
2016-01-21 20:01:33,"0,5"
2016-01-21 20:01:55,"0,4"
2016-01-21 20:02:18,"1,9"
2016-01-21 20:02:40,"1,6"
2016-01-21 20:03:03,"1,6"
2016-01-21 20:03:25,"1,8"
2016-01-21 20:03:47,2
2016-01-21 20:04:09,"1,3"
2016-01-21 20:04:31,"1,2"
2016-01-21 20:04:53,"2,3"
2016-01-21 20:05:16,"1,2"
2016-01-21 20:05:38,"1,1"
2016-01-21 20:06:01,"1,6"
2016-01-21 20:06:23,"1,9"
2016-01-21 20:06:45,"1,2"
2016-01-21 20:07:07,"2,1"
2016-01-21 20:07:29,"1,6"
2016-01-21 20:07:52,"3,1"
